[ 2023-10-19 18:18:58,766 ] 23 root - INFO - Data ingestion is initiated
[ 2023-10-19 18:19:06,538 ] 27 root - INFO - Data read as dataframe
[ 2023-10-19 18:19:06,743 ] 33 root - INFO - Data saved in file raw.csv
[ 2023-10-19 18:19:06,743 ] 35 root - INFO - Data splited into training and testing
[ 2023-10-19 18:19:06,915 ] 40 root - INFO - Training data is saved in train.csv
[ 2023-10-19 18:19:06,978 ] 42 root - INFO - Testing data is saved in test.csv
[ 2023-10-19 18:19:06,978 ] 61 root - INFO - Data transformation is initiated
[ 2023-10-19 18:19:06,978 ] 63 root - INFO - Reading testing and training data
[ 2023-10-19 18:19:07,087 ] 67 root - INFO - Data reading completed successfully
[ 2023-10-19 18:19:07,087 ] 30 root - INFO - Pipeline creation is initiated
[ 2023-10-19 18:19:07,103 ] 52 root - INFO - Pipeline creation is done successfully
[ 2023-10-19 18:19:07,202 ] 86 root - INFO - Data transformation is completed
[ 2023-10-19 18:19:07,202 ] 10 root - INFO - Saving Object is initiated
[ 2023-10-19 18:19:07,202 ] 18 root - INFO - Object is saved
[ 2023-10-19 18:19:07,202 ] 92 root - INFO - Pickle file saved.
[ 2023-10-19 18:19:07,202 ] 28 root - INFO - Spliting the data into train and test
[ 2023-10-19 18:19:07,202 ] 42 root - INFO - Checking for model report
[ 2023-10-19 18:24:44,774 ] 46 root - INFO - Model accuracy report obtained
[ 2023-10-19 18:24:44,774 ] 47 root - INFO - {'LogisticRegression': 0.50024, 'DecisionTree': 0.49492, 'SVM': 0.50212, 'NaiveBayes': 0.50192, 'KNN': 0.50556, 'RandomForest': 0.49912}
[ 2023-10-19 18:24:44,774 ] 59 root - INFO - Best model found: KNN, Best model accuracy:0.50556
[ 2023-10-19 18:24:44,774 ] 10 root - INFO - Saving Object is initiated
[ 2023-10-19 18:24:44,790 ] 18 root - INFO - Object is saved
[ 2023-10-19 18:24:44,790 ] 68 root - INFO - Best Model obj is saved
